UnitID,sales,inventory
1,1581245.661,5265973.516
2,2932407.465,3207502.607
3,2490977.323,6558631.762
4,2897004.694,5097859.192
5,3605458.662,4426464.511
6,3703867.802,8925962.406
7,428686.4092,3292898.221
8,8222799.405,15765157.59
9,377643.2416,387857.9487
10,248025.4754,508842.2353
11,5057074.639,22819666.57
12,493016.487,4199423.722
13,697397.4613,218754.1437
14,2463923.673,4870909.605
15,3229794.819,4042894.048
16,3086233.694,5666646.702
17,563437.6929,303552.4575
18,16518089.38,101678441
19,52156427.82,105379552.9
20,643487.6785,1037218.571
21,364720.2295,1567936.461
22,2069270.549,4175794.966
23,5301422.427,14485277.32
24,3667585.766,8457859.715
25,3091578.789,8678057.981
26,353826.8215,396369.8246
27,289335.9786,336368.9023
28,19126790.01,2062726.726
29,8785040.671,6674551.46
30,314110.5423,346497.963
31,122337.3534,293082.3994
32,52384.553,167023.3822
33,25365.41337,239269.5983
34,48566.06205,266768.9963
35,11988196.15,4331299.427
36,747560.0883,1230194.836
37,756281.9405,1209830.633
38,787279.7394,1246094.145
39,740568.2284,1384561.773
40,761880.0033,1384136.155
41,779877.0393,1261874.775
42,755396.3753,1263723.826
43,759104.1485,1330112.246
44,782844.5811,1251612.738
45,804910.1644,1301011.911
46,797823.5547,1348675.602
47,791933.093,1360143.216
48,795564.1569,1309319.609
49,743317.3087,1366163.476
50,725266.2408,1175216.613
51,767143.1008,1191799.249
52,746280.6739,1157808.909
53,748666.4438,1209239.628
54,739063.2395,1198177.41
55,761444.167,1254627.732
56,764405.9977,1260870.286
57,750390.4089,1210884.204
58,738527.3712,1132128.646
59,743689.0063,1248789.916
60,743942.9698,1219108.893
61,728020.5847,1277179.655
62,723204.5039,1258318.869
63,733835.2221,1110635.341
64,766679.4724,1106930.016
65,765419.1027,1137134.526
66,726573.3922,1131473.449
67,2238865.974,3567925.657
68,1582374.378,2141349.119
69,2099036.332,3610120.564
70,1868141.289,2204658.656
71,1920555.03,2730231.814
72,2209602.01,3089444.006
73,1902119.733,2468993.092
74,1221847.813,2651820.51
75,1713309.001,2641657.933
76,2021099.727,2327884.852
77,1946158.468,2746172.101
78,1793813.946,2732478.96
79,1237996.296,1774894.388
80,857405.0421,1570572.512
81,1547137.385,1578319.966
82,1559198.872,1537193.334
83,1563323.081,1780490.463
84,1534744.192,1760327.809
85,1075652.715,1898088.791
86,865148.9167,1562573.918
87,2042855.488,3423176.789
88,1817212.102,3621236.607
89,1332025.822,2454893.054
90,2069569.303,3275095.575
91,1912019.325,3264428.757
92,1664206.336,2693437.807
93,1630522.952,2625515.039
94,1802517.822,2463182.685
95,1689870.217,2380003.011
96,2324318.487,3317196.825
97,2142535.539,3164017.018
98,1579616.314,2128036.587
99,1672422.164,2338503.535
100,1263322.762,1800130.16
101,932040.5866,1489413.14
102,1586242.293,1681079.022
103,1406035.922,1358467.704
104,961829.3295,1910860.729
105,976352.851,1732917.007
106,1367184.714,1631351.505
107,1269766.978,1765018.06
108,1038223.282,1145936.166
109,857065.004,1536574.222
110,729601.2784,1319750.064
111,712937.0864,1372514.035
112,618372.3109,1354888.079
113,672070.8584,1291969.305
114,736063.9283,1215042.336
115,810792.748,1253263.107
116,725352.3154,1288695.321
117,726676.1114,1193034.795
118,720145.1712,1180006.959
119,841332.2031,1064788.747
120,741438.2262,1180376.327
121,720923.3582,1206335.827
122,766175.7701,1133606.682
123,800283.8573,1119293.729
124,809223.7596,1094699.085
125,816211.1947,1109742.621
126,848106.3266,1070309.074
127,838228.5933,1070001.839
128,781526.6256,1101567.166
129,782371.0022,1171981.379
130,765994.7636,1208154.564
131,769486.7991,1223661.525
132,752348.9642,1200786.51
133,753014.9002,1212724.157
134,780306.8502,1171907.472
135,766547.9507,1096227.67
136,742965.4895,1145115.586
137,762038.4865,1156301.824
138,720797.0656,1192602.459
139,742746.9207,1216254.735
140,770370.511,1195944.615
141,3206755.995,3519065.798
142,4174482.917,4251767.903
143,2994191.059,3314640.359
144,1486906.862,2816538.323
145,2766547.53,3465216.289
146,3896940.735,4341052.822
147,3492691.562,3440789.31
148,682268.9073,1238848.071
149,651797.1277,1118985.155
150,665300.3389,1266917.175
151,655544.7936,1253118.756
152,803926.605,1198563.273
153,470969.0279,1280845.063
154,821797.4087,1188671.513
155,499737.8457,1272969.911
156,618912.5278,1213326.763
157,1328651.462,1605260.513
158,1073795.728,1442043.804
159,1605851.893,1564136.354
160,1251875.137,1715921.864
161,904554.7875,1884079.266
162,1485793.858,1462900.03
163,1580568.956,2184687.777
164,1827619.684,2801394.429
165,1867824.945,2142094.71
166,1461706.934,2375850.761
167,2123341.733,2804588.692
168,1841315.032,2073978.238
169,2252554.232,3620980.176
170,1818033.694,3623892.152
171,2172820.086,2695834.105
172,1176332.066,1828090.841
173,1041907.349,1472472.431
174,1050671.977,1780995.87
175,1114218.756,1814292.946
176,565504.6929,1131714.029
177,541223.9446,1270775.529
178,1107222.641,1672068.139
179,1186143.184,1724139.528
180,870807.6633,1270018.946
181,1339040.443,1718504.294
182,1211234.568,1940500.389
183,843308.607,727351.0293
184,809539.9643,764078.7886
185,852745.1923,648828.1127
186,850853.3999,1033096.694
187,831171.5555,924707.4554
188,868190.4118,996924.9413
189,793246.6447,840340.5247
190,859522.706,595429.76
191,847617.2024,1259208.218
192,785827.5875,549098.077
193,813530.3266,1329741.285
194,710548.5765,1320293.801
195,692139.5547,1327534.798
196,651676.439,1337509.519
197,735984.022,1310501.658
198,842921.9289,1345670.901
199,649256.2694,1316915.279
200,744913.8988,1292905.241
201,742039.7702,1236988.537
202,768316.9128,1243553.583
203,756525.8724,1078367.151
204,767364.3593,1099286.785
205,738224.0955,1126589.549
206,750210.5631,1247000.339
207,758786.6508,1156153.311
208,750048.1251,1266399.781
209,724761.6036,1177293.636
210,860795.9089,1025401.3
211,728006.9267,1156522.355
212,808878.5575,1115837.843
213,702803.2984,1205281.289
214,771148.6929,1150026.988
215,756446.6176,1157135.367
216,806509.1842,1109005.646
217,835295.0433,1079065.637
218,3626210.111,12221763.32
219,354736.0361,8447769.319
220,5262966.59,5715320.163
221,1965584.967,10388484.51
222,2834443.515,6614850.502
223,1288111.381,6789705.192
224,2599313.927,6810089.851
225,648556.2102,6876325.611
226,1951613.006,3217280.861
227,1805209.621,1967994.964
228,2169821.392,3255676.186
229,2089040.668,2789840.326
230,829319.9624,948797.263
231,828261.6099,883761.4709
232,824249.7828,479007.8063
233,776650.8797,919466.6116
234,806346.071,1276794.261
235,782350.9754,1257567.057
236,753090.2483,1360928.802
237,876987.2125,1020920.118
238,795981.1391,816503.1983
239,747731.0684,919127.8283
240,831082.8241,1215797.299
241,859528.351,983715.7938
242,815541.2285,1278530.483
243,767868.5439,1306584.103
244,736497.4334,1389915.376
245,754655.186,1260396.301
246,761063.0748,1313952.065
247,763053.8693,1319953.807
248,782164.8845,1306915.129
249,720922.4309,1205555.939
250,750439.8355,1255099.766
251,947693.165,1236053.978
252,692002.4289,1109536.468
253,781529.615,1098615.612
254,837337.0864,1198862.824
255,935079.9859,1261099.117
256,738342.4478,1046449.725
257,811752.2997,1098262.25
258,800877.4066,1088705.01
259,382906.6149,564314.6157
260,412233.4151,488408.398
261,413863.1806,658820.0821
262,637642.5201,876539.7463
263,632146.1321,900118.1379
264,231232.6646,566702.2448
265,458065.0643,652977.5484
266,399902.4579,761221.8653
267,463762.9661,585154.0874
268,468811.4009,688094.1156
269,407001.187,843994.8504
270,494762.6427,877704.9928
271,393817.8216,747773.4103
272,327832.724,800845.3895
273,241005.3989,498587.6301
274,286141.8836,573726.3288
275,500254.2085,624210.1709
276,410263.1831,730534.8101
277,490985.9826,646786.8958
278,178314.6266,596318.4899
279,236464.5842,655362.6979
280,435322.8221,714916.3269
281,601192.2979,527577.6382
282,402972.2649,862323.0986
283,450602.6786,741727.357
284,472246.4273,959427.2631
285,499494.5658,903113.014
286,830821.0602,830809.0419
287,479095.8813,547068.2907
288,416357.38,476275.3099
289,722660.1624,677831.8866
290,412282.0506,782583.7357
291,407479.9929,589388.0935
292,374287.5267,764118.0401
293,658958.0632,576559.4629
294,404149.1749,603619.2946
295,861043.3796,813429.4684
296,609929.7959,666293.0281
297,49886.99645,401014.204
298,750646.3269,685203.4019
299,709127.9096,656894.1814
300,632129.3389,692244.5
301,705222.4341,694952.4279
302,680202.9144,812941.6034
303,90371.69707,555087.833
304,828419.2914,596239.7846
305,750099.35,535150.6003
306,1095384.287,896312.7215
307,847845.5189,739576.6714
308,490646.2465,749480.9922
309,107967.2222,554880.2312
310,975704.092,846603.9848
311,926162.2566,790903.2072
312,354788.4381,463621.5606
313,398299.9751,680223.3904
314,311810.3798,728587.8765
315,416936.8473,527078.9654
316,331550.3297,594497.0565
317,610704.8107,559161.1932
318,438244.3869,585235.054
319,580907.5493,780011.7446
320,513462.3059,674574.8823
321,506195.2472,500385.2173
322,457441.5398,564100.6769
323,272040.5968,680261.8075
324,430376.9758,712826.5563
325,407072.7727,501189.2581
326,277281.5195,633402.5904
327,547813.4729,580702.7344
328,575765.731,680962.2014
329,543134.8631,774137.1423
330,573973.1089,493708.7051
331,474568.6575,638345.656
332,444981.2061,766670.8157
333,442237.6382,707252.2937
334,532145.6779,830265.3954
335,280822.8581,869326.085
336,419509.7352,768266.0856
337,423714.1585,505228.4814
338,616354.6782,545189.0421
339,450875.6466,717763.4946
340,564389.4356,831874.8838
341,332855.7465,724811.0656
342,383668.2207,621140.1813
343,624738.2381,768749.6867
344,690506.005,825011.7741
345,395101.2146,684531.7525
346,366229.9386,781014.8101
347,351561.7489,662070.0131
348,625194.5139,709450.3431
349,539263.5205,595194.7237
350,412481.2312,618612.4966
351,328859.4508,517675.0727
352,541676.6626,513431.9893
353,542264.5914,841485.6812
354,750549.1454,795764.9913
355,411203.1432,756656.0935
356,456181.642,535458.8713
357,392179.9342,651786.4872
358,586414.046,768596.9948
359,250756.2522,502176.9515
360,421388.3291,535721.6477
361,193775.1967,607677.2876
362,591557.3942,657516.9402
363,625728.9628,659939.0596
364,606520.3602,601292.168
365,420334.9296,711846.8398
366,552831.8178,688260.4598
367,393413.2581,707821.1985
368,476732.7586,662501.65
369,412168.7443,789666.9247
370,558445.8096,833534.7029
371,386515.1337,588320.6581
372,644160.5056,698819.158
373,378168.7994,676417.1627
374,402545.9858,548380.1841
375,181591.5577,489903.7682
376,451937.7023,816363.786
377,473855.5801,574908.6319
378,634662.2854,761278.9816
379,686664.5697,659100.3548
380,428461.9696,624478.0214
381,499801.5653,605899.2899
382,322718.0326,847733.5281
383,534926.9727,737430.3281
384,591397.977,549384.0474
385,376098.3996,887619.3588
386,434388.8933,566388.8362
387,412407.476,630540.9271
388,616569.4365,617977.1859
389,714499.907,854053.7292
390,946264.1672,734858.4218
391,1440883.229,869710.4501
392,2107091.392,922551.1332
393,1909429.594,868543.0251
394,1776770.172,944887.8611
395,129370.8554,695655.8372
396,2326087.531,1014710.819
397,2844553.662,1061915.781
398,2077437.017,860599.6995
399,2763383.771,968888.7761
400,410327.105,776375.4015
401,1959056.236,949352.9497
402,723664.6117,709142.2803
403,1585356.745,874122.8975
404,403455.4836,447667.3448
405,425842.7312,552157.4686
406,417334.9564,730880.7694
407,208239.0902,499700.0831
408,569192.021,640866.7504
409,564349.6856,656066.6337
410,593171.1707,524403.5383
411,383583.4499,755184.4623
412,434123.0403,676999.5637
413,373738.0426,530077.2736
414,711388.9468,791241.8355
415,485957.0793,830793.2733
416,302396.3133,581473.8074
417,433276.9323,636896.9063
418,559943.0562,571758.9374
419,1595112.155,876192.3716
420,3459116.998,1102726.749
421,1779620.303,938607.621
422,896806.8961,766035.6278
423,1263910.408,819457.4061
424,1852484.399,837652.1768
425,2511122.767,1027517.668
426,2059143.322,961293.7334
427,2195857.053,980437.0793
428,1230628.729,821256.2309
429,1579678.913,886441.8215
430,866713.5407,756530.1663
431,727827.9157,850651.3855
432,1958603.101,900455.6773
433,493584.1835,793641.2354
434,2578655.87,1056770.105
435,492704.7318,773139.8424
436,1839227.562,917023.2827
437,1173285.05,833575.7606
438,1687323.565,870776.9614
439,422551.9146,509136.8216
440,628899.0624,686844.9475
441,508016.6712,400311.7319
442,31849.70539,364328.9057
443,480904.9522,683769.9362
444,353524.7457,448379.7223
445,208658.2864,490419.3514
446,512034.1304,594879.0537
447,414195.7891,555240.8785
448,199014.5119,356164.2976
449,116080.2999,296185.5397
450,334583.3316,436443.1409
451,113653.1974,570212.5286
452,572758.4677,481567.54
453,448325.4847,485424.873
454,361590.5673,429341.9043
455,234535.4062,394759.7678
456,492501.523,436927.5741
457,528768.4365,433273.6401
458,558654.3174,522088.9761
459,361495.7598,465695.7972
460,616412.5792,488091.721
461,71683.58474,345164.941
462,319105.0362,421111.8722
463,7042.726407,282902.9955
464,55691.71114,257618.4515
465,70443.86156,475831.8283
466,362099.8869,532002.0051
467,622945.9669,568677.9051
468,347509.0521,417283.8795
469,253895.6005,531590.1797
470,499714.2091,427478.2709
471,146232.2928,531201.0845
472,418274.8075,580418.0029
473,352783.4606,663902.3413
474,239878.6365,457870.8524
475,265421.6569,461668.5099
476,650252.4575,728330.9496
477,435308.8987,429515.6111
478,368292.7355,586253.7152
479,294255.29,492534.9065
480,373456.3214,438543.6885
481,214333.9414,398883.2371
482,312087.7507,645964.3171
483,582742.9431,515128.018
484,663632.1821,560924.9568
485,278375.7646,303448.2182
486,440430.7477,402283.6431
487,170390.4074,413939.8893
488,314118.6472,646028.4724
489,272378.5121,429677.8607
490,355416.1279,545863.9461
491,582772.7764,715503.392
492,201609.5853,621313.399
493,260750.6212,468727.761
494,530867.1554,730096.3724
495,489854.2641,541066.4033
496,343515.411,653946.649
497,501353.7339,531298.5509
498,153164.7596,513983.2588
499,407676.2169,663892.4616
500,558937.4291,636219.6909
501,516446.6123,565968.1553
502,980429.6235,423424.8315
503,727825.6231,321135.2634
504,407108.6685,362197.6586
505,805289.7019,181828.762
506,383950.0302,541518.8969
507,458690.6086,498219.4574
508,606577.5463,485396.7698
509,145032.8346,456495.8557
510,461211.2613,134765.7524
511,802101.5496,368973.9709
512,699955.4099,332715.7661
513,777059.5606,503981.3158
514,1293428.936,522813.6886
515,839793.9024,535731.1004
516,434797.7574,355245.6595
517,106329.3089,301062.9882
518,646617.5436,359725.3185
519,109579.1273,512931.3196
520,684519.9013,592729.9009
521,610539.9649,185324.0371
522,512744.7585,562314.3573
523,333591.3407,612905.119
524,300982.8351,298543.9178
525,535190.4313,452811.5653
526,517475.3082,265470.271
527,572616.9365,357037.1361
528,1132266.739,354858.8354
529,721217.7435,234058.3103
530,818673.0501,242526.015
531,995764.006,166296.4755
532,212889.4843,466176.6881
533,452052.8267,561914.6383
534,370338.8939,441682.8631
535,890316.6526,343791.2892
536,548363.1318,145003.8146
537,712051.633,516543.2775
538,1002155.965,292273.1384
539,432935.3191,1041996.575
540,371370.063,757528.3151
541,513803.8895,792212.4154
542,472844.7462,796857.2088
543,517752.5449,832064.1608
544,519010.9991,942494.1155
545,447274.789,684060.3976
546,310291.332,424416.9783
547,438019.3601,726479.4005
548,397022.2101,1072047.663
549,371831.3357,724513.1148
550,476362.605,625648.7507
551,445894.5957,559103.2848
552,394186.9299,579493.1669
553,526250.1351,772205.3279
554,492504.9196,262188.1297
555,365306.7085,846114.9002
556,441028.3014,376108.6584
557,426993.9218,1030449.594
558,483655.9275,889555.1192
559,395997.1598,278361.2208
560,471866.0528,735751.5456
561,226862.218,364942.1916
562,488671.222,1055077.133
563,698374.5972,1237412.745
564,259954.7852,772775.8236
565,511693.554,535316.2169
566,269420.1585,386217.7175
567,513516.3005,229058.8951
568,581858.5787,72191.96677
569,272575.0602,551296.5137
570,606827.4775,254789.6699
571,254602.1432,347317.2024
572,137767.1796,471044.5844
573,194963.2414,389609.4364
574,289711.7041,177822.1225
575,540966.7957,328712.5003
576,261586.5296,85036.12851
577,109267.6419,210353.3599
578,111609.6598,518987.2218
579,568432.0342,126574.7489
580,343839.3097,191826.7109
581,291012.5056,595696.9045
582,281033.0722,435372.6894
583,420888.9644,92710.37312
584,187344.1749,340911.5182
585,370796.8353,380842.4806
586,337730.2606,337765.6334
587,555241.5578,238046.7614
588,368975.3767,528299.5545
589,481885.9809,502379.4806
590,482691.7709,139158.8655
591,424917.8471,707308.3695
592,367260.1596,707061.988
593,548174.2644,323903.8993
594,561830.2449,507813.0768
595,661212.9877,482417.9518
596,463781.797,439588.8589
597,352246.3172,813725.6081
598,635916.241,242670.8405
599,399016.2835,460843.4807
600,287992.6912,539985.9152
601,422997.0277,541224.4104
602,513742.4936,469082.0208
603,574557.7474,374137.4283
604,357173.884,552329.2025
605,321911.5271,553491.0044
606,474011.7665,406143.7684
607,318757.4965,481920.2922
608,524463.7842,218412.1478
609,645188.7202,262503.6816
610,433704.5746,222446.4093
611,488317.1315,546089.4339
612,343959.2635,396552.8495
613,331109.9214,615505.6893
614,392240.8588,355614.7733
615,439384.7314,187582.294
616,547051.1613,357503.5846
617,461406.0467,191151.6443
618,748545.7338,578922.9241
619,328577.6567,319365.9196
620,256065.8913,540829.0776
621,573497.1673,232908.1962
622,559984.258,568937.4024
623,590349.4461,381982.9339
624,570457.7087,429124.0791
625,302870.9403,47886.06117
626,451764.4689,303976.9074
627,235310.9291,446167.5806
628,450052.5258,421610.7647
629,502272.073,278873.2008
630,450639.8918,269214.4811
631,421227.8961,410106.9913
632,512361.9824,332660.6937
633,343168.257,204671.2157
634,271301.4104,515795.6335
635,427059.2965,157642.1451
636,188452.8343,141480.2929
637,629077.5789,258545.0369
638,244222.8841,366068.4477
639,133194.2954,293896.3709
640,451736.2463,642460.6585
641,589949.9633,508015.6012
642,300630.2691,289474.8774
643,342000.5492,557641.4652
644,739067.5298,517986.2596
645,419695.1009,204488.464
646,543013.6652,283563.3128
647,465489.0753,461426.2738
648,189012.901,450892.7205
649,349459.6612,334074.7025
650,91006.72386,238867.5712
651,400685.2248,319555.6832
652,525911.7704,757382.4705
653,151156.9793,109391.432
654,241348.0102,538828.0136
655,306711.4872,235191.3215
656,352220.3163,484631.0375
657,357773.5574,516967.228
658,187723.1426,188517.2191
659,109759.9151,447103.6058
660,373943.6237,707906.9371
661,499835.604,666586.1042
662,433166.6122,422516.6215
663,111186.1382,235886.5376
664,174838.6871,223595.42
665,135671.3849,679956.4078
666,157908.719,517452.3807
667,182754.743,350208.1199
668,263948.8903,355544.6282
669,155589.0361,332371.3221
670,325448.8228,663818.9502
671,452258.8448,828854.0557
672,289734.6844,649925.5058
673,213519.9767,91576.06556
674,269651.894,407052.6126
675,37888.99301,112060.2255
676,405956.6669,628743.8764
677,536083.4118,453055.5497
678,494549.433,610146.5768
679,111596.8403,459499.386
680,320065.1019,335980.5266
681,176223.7757,620379.6435
682,535596.9733,709817.4815
683,642568.3802,685914.6604
684,446614.1411,637111.8068
685,416287.7928,456383.9922
686,365574.1713,635942.075
687,391844.65,414699.3989
688,221580.2305,354029.3336
689,353421.1942,462031.9802
690,274433.6008,513833.9425
691,255754.4886,481621.5385
692,101274.8685,436474.7168
693,391863.137,558947.3325
694,140459.8557,434921.9928
695,20468.33164,506251.2147
696,358360.6095,562950.1634
697,368495.1148,564657.5962
698,403504.3572,594587.0153
699,542098.1521,602528.4831
700,331099.0915,466451.3403
701,150765.0595,267336.4817
702,31247.08322,349967.6426
703,179214.0311,141529.238
704,120895.9298,262292.0843
705,13677.7654,323171.5334
706,249452.1344,387075.7469
707,171748.5338,475206.351
708,328469.3299,317866.5332
709,132555.5273,237211.1584
710,281337.114,395730.7258
711,105831.1307,316856.7191
712,133859.801,437069.9419
713,190803.3584,464335.536
714,158364.0023,433280.1479
715,161028.4911,416195.7967
716,436159.4509,471485.5124
717,150319.479,84872.58623
718,204190.6997,160277.2522
