UnitID	sales	inventory	strata
1	1581245.661	5265973.516	7
2	2932407.465	3207502.607	7
3	2490977.323	6558631.762	7
4	2897004.694	5097859.192	7
5	3605458.662	4426464.511	7
6	3703867.802	8925962.406	7
7	428686.4092	3292898.221	5
8	8222799.405	15765157.59	7
9	377643.2416	387857.9487	5
10	248025.4754	508842.2353	4
11	5057074.639	22819666.57	7
12	493016.487	4199423.722	5
13	697397.4613	218754.1437	6
14	2463923.673	4870909.605	7
15	3229794.819	4042894.048	7
16	3086233.694	5666646.702	7
17	563437.6929	303552.4575	6
18	16518089.38	101678441	7
19	52156427.82	105379552.9	7
20	643487.6785	1037218.571	6
21	364720.2295	1567936.461	5
22	2069270.549	4175794.966	7
23	5301422.427	14485277.32	7
24	3667585.766	8457859.715	7
25	3091578.789	8678057.981	7
26	353826.8215	396369.8246	5
27	289335.9786	336368.9023	4
28	19126790.01	2062726.726	7
29	8785040.671	6674551.46	7
30	314110.5423	346497.963	5
31	122337.3534	293082.3994	3
32	52384.553	167023.3822	2
33	25365.41337	239269.5983	1
34	48566.06205	266768.9963	1
35	11988196.15	4331299.427	7
36	747560.0883	1230194.836	6
37	756281.9405	1209830.633	6
38	787279.7394	1246094.145	6
39	740568.2284	1384561.773	6
40	761880.0033	1384136.155	6
41	779877.0393	1261874.775	6
42	755396.3753	1263723.826	6
43	759104.1485	1330112.246	6
44	782844.5811	1251612.738	6
45	804910.1644	1301011.911	6
46	797823.5547	1348675.602	6
47	791933.093	1360143.216	6
48	795564.1569	1309319.609	6
49	743317.3087	1366163.476	6
50	725266.2408	1175216.613	6
51	767143.1008	1191799.249	6
52	746280.6739	1157808.909	6
53	748666.4438	1209239.628	6
54	739063.2395	1198177.41	6
55	761444.167	1254627.732	6
56	764405.9977	1260870.286	6
57	750390.4089	1210884.204	6
58	738527.3712	1132128.646	6
59	743689.0063	1248789.916	6
60	743942.9698	1219108.893	6
61	728020.5847	1277179.655	6
62	723204.5039	1258318.869	6
63	733835.2221	1110635.341	6
64	766679.4724	1106930.016	6
65	765419.1027	1137134.526	6
66	726573.3922	1131473.449	6
67	2238865.974	3567925.657	7
68	1582374.378	2141349.119	7
69	2099036.332	3610120.564	7
70	1868141.289	2204658.656	7
71	1920555.03	2730231.814	7
72	2209602.01	3089444.006	7
73	1902119.733	2468993.092	7
74	1221847.813	2651820.51	7
75	1713309.001	2641657.933	7
76	2021099.727	2327884.852	7
77	1946158.468	2746172.101	7
78	1793813.946	2732478.96	7
79	1237996.296	1774894.388	7
80	857405.0421	1570572.512	6
81	1547137.385	1578319.966	7
82	1559198.872	1537193.334	7
83	1563323.081	1780490.463	7
84	1534744.192	1760327.809	7
85	1075652.715	1898088.791	7
86	865148.9167	1562573.918	6
87	2042855.488	3423176.789	7
88	1817212.102	3621236.607	7
89	1332025.822	2454893.054	7
90	2069569.303	3275095.575	7
91	1912019.325	3264428.757	7
92	1664206.336	2693437.807	7
93	1630522.952	2625515.039	7
94	1802517.822	2463182.685	7
95	1689870.217	2380003.011	7
96	2324318.487	3317196.825	7
97	2142535.539	3164017.018	7
98	1579616.314	2128036.587	7
99	1672422.164	2338503.535	7
100	1263322.762	1800130.16	7
101	932040.5866	1489413.14	6
102	1586242.293	1681079.022	7
103	1406035.922	1358467.704	7
104	961829.3295	1910860.729	6
105	976352.851	1732917.007	6
106	1367184.714	1631351.505	7
107	1269766.978	1765018.06	7
108	1038223.282	1145936.166	7
109	857065.004	1536574.222	6
110	729601.2784	1319750.064	6
111	712937.0864	1372514.035	6
112	618372.3109	1354888.079	6
113	672070.8584	1291969.305	6
114	736063.9283	1215042.336	6
115	810792.748	1253263.107	6
116	725352.3154	1288695.321	6
117	726676.1114	1193034.795	6
118	720145.1712	1180006.959	6
119	841332.2031	1064788.747	6
120	741438.2262	1180376.327	6
121	720923.3582	1206335.827	6
122	766175.7701	1133606.682	6
123	800283.8573	1119293.729	6
124	809223.7596	1094699.085	6
125	816211.1947	1109742.621	6
126	848106.3266	1070309.074	6
127	838228.5933	1070001.839	6
128	781526.6256	1101567.166	6
129	782371.0022	1171981.379	6
130	765994.7636	1208154.564	6
